% Model:              Possion.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 7 2025, 14:24
% Dimension:          2
% Nodes:              10201
% Expressions:        5
%
% Length unit:        m
% X                       Y                        u (1)                    ux (1/m)                 uxx (1/m^2)              uy (1/m)                 uyy (1/m^2)
0.08000000000000002       0.06999999999999995      0.007236647231282018     0.06542213780331119      -0.4995381483796564      0.08083262545547781      -0.5023278723930957
0.09000000000000005       0.05999999999999989      0.006949220711380036     0.05256838546334591      -0.4181912395259815      0.09453132266862341      -0.5835457868558365
0.10000000000000006       0.04999999999999993      0.006398804141643518     0.040798533065319054     -0.3394984829568415      0.10874957395426033      -0.6619958659507148
0.11000000000000007       0.03999999999999998      0.005592154979948992     0.03018439707220988      -0.26494617773860796     0.12334421039273957      -0.7362613679572689
0.12000000000000008       0.029999999999999916     0.004538013379281965     0.020771176809454547     -0.19491443856111346     0.13818042256148705      -0.8060132273790899
0.13000000000000012       0.019999999999999796     0.0032467311561578944    0.012587244135898665     -0.1286835146497225      0.15314418405488206      -0.8719824119959498
0.14                      0                        0                        0                        0                        0.1778288837552966       -0.967754441355993
0.14000000000000007       0.009999999999999842     0.00172990111548514      0.005655088100309014     -0.06455476436685359     0.1681517648925481       -0.9358312403325966
0                         0.14999999999999988      0                        0.19165915974065667      -0.9820138345078623      0                        0
0.010000000000000009      0.14999999999999986      0.0018674909056811753    0.18183915947308912      -0.9641316387517495      0.006800380120338699     -0.03599302294708906
0.019999999999999962      0.13999999999999985      0.003499131480584362     0.1654434688951037       -0.9226242615905184      0.014315642833750739     -0.07767072650426599
0.02999999999999997       0.1299999999999999       0.004888472710965589     0.14918035966013987      -0.8748883384261121      0.02259141953644428      -0.12562732613420735
0.03999999999999995       0.11999999999999977      0.006029470101512326     0.13314178277904098      -0.8205418041319064      0.031665354478854046     -0.18024074431761505
0.04999999999999996       0.10999999999999971      0.00691677700122989      0.1174380410226088       -0.7595736160632361      0.04156100824106018      -0.24150247919254753
0.06                      0.09999999999999976      0.007546096113998678     0.10219548135327347      -0.6925176197206753      0.05228078571659264      -0.3088400011676242
0.07                      0.08999999999999991      0.007914562291832548     0.08755069780240035      -0.6205670897686701      0.06379924793500452      -0.3810079014345149
0.08000000000000002       0.08000000000000002      0.008021106286831413     0.07364130506272223      -0.5455362544257696      0.07605898207941397      -0.4561448770861034
0.09000000000000005       0.06999999999999995      0.007866734074559307     0.06059499974092808      -0.46960851631178        0.08897126352917623      -0.5320487981518056
0.10000000000000006       0.05999999999999989      0.0074546641921240525    0.04852007338486414      -0.3949132488938858      0.10242247038966867      -0.6066105343711286
0.11000000000000007       0.04999999999999993      0.0067903005027816895    0.03750055327988905      -0.3230766557535105      0.11628502846840749      -0.6782511911279698
0.12000000000000008       0.03999999999999998      0.005881064712810125     0.027597449750840775     -0.2548985765545808      0.13043005575605388      -0.7462197247775464
0.13000000000000012       0.029999999999999916     0.004736146002708977     0.018855341828068764     -0.19020521367598775     0.14473906873914022      -0.8107167778700557
0.14000000000000007       0.019999999999999796     0.003366227617953266     0.011312118025672516     -0.12781289818982344     0.15911391271426817      -0.8729146856198957
0.15000000000000002       0                        0                        0                        0                        0.1831586951703429       -0.9672865636937331
